District,Town Panchayat,DMK+ -4955,AIADMK+ -1213,BJP -229,PMK -52,AMMK -59,MNM -0,NTK -9,OTH -1065
Ariyalur,Udayarpalayam (15/15),8,1,1,1,0,0,0,4
Ariyalur,Varadharajanpettai (15/15),8,0,0,0,0,0,0,7
Chengalpattu,Mahabalipuram (15/15),5,9,0,0,0,0,0,1
Chengalpattu,Thiruporur (15/15),12,2,0,0,0,0,0,1
Chengalpattu,Tirukazhukundram (18/18),9,5,0,3,0,0,0,1
Chengalpattu,Karunguzhi (15/15),11,1,0,0,0,0,0,3
Chengalpattu,Acharapakkam (15/15),9,5,0,0,0,0,0,1
Chengalpattu,Edaikazhinadu (21/21),7,6,0,0,0,0,0,8
Coimbatore,Irugur (18/18),18,0,0,0,0,0,0,0
Coimbatore,Annur (15/15),10,0,1,0,0,0,0,4
Coimbatore,Kinathukadavu (15/15),12,2,0,0,0,0,0,1
Coimbatore,Kottur (21/21),19,1,0,0,0,0,0,1
Coimbatore,Suleeswaranpatti (15/15),15,0,0,0,0,0,0,0
Coimbatore,Thondamuthur (15/15),12,3,0,0,0,0,0,0
Coimbatore,Vellalore (15/15),6,8,0,0,0,0,0,1
Coimbatore,Alandurai (15/15),11,3,0,0,0,0,0,1
Coimbatore,Anaimalai (18/18),17,1,0,0,0,0,0,0
Coimbatore,Chettipalayam (15/15),11,0,2,0,0,0,0,2
Coimbatore,Veerapandi (15/15),10,5,0,0,0,0,0,0
Coimbatore,Dhaliyur (15/15),13,2,0,0,0,0,0,0
Coimbatore,Ettimadai (12/12),8,4,0,0,0,0,0,0
Coimbatore,Sulur (18/18),17,1,0,0,0,0,0,0
Coimbatore,Idikarai (15/15),13,2,0,0,0,0,0,0
Coimbatore,Kannampalayam (15/15),12,1,0,0,0,0,0,2
Coimbatore,Mopperipalayam (15/15),5,0,0,0,0,0,0,10
Coimbatore,Odayakulam (15/15),15,0,0,0,0,0,0,0
Coimbatore,Narasimhanaickenpalayam (15/15),13,2,0,0,0,0,0,0
Coimbatore,Othakalmandapam (15/15),8,6,0,0,0,0,0,1
Coimbatore,Periyanaickenpalayam (18/18),14,4,0,0,0,0,0,0
Coimbatore,PeriyaNegamam (15/15),13,1,0,0,0,0,0,1
Coimbatore,Pooluvapatti (15/15),11,3,1,0,0,0,0,0
Coimbatore,Sarkarsamakulam (15/15),14,1,0,0,0,0,0,0
Coimbatore,Samathur (12/12),12,0,0,0,0,0,0,0
Coimbatore,Sirumugai (18/18),12,4,1,0,0,0,0,1
Coimbatore,Thirumalayampalayam (15/15),8,7,0,0,0,0,0,0
Coimbatore,Thenkarai (15/15),12,2,0,0,0,0,0,1
Coimbatore,Chinnavedapatti (15/15),13,2,0,0,0,0,0,0
Coimbatore,Perur (15/15),13,2,0,0,0,0,0,0
Coimbatore,Vettaikaranpudur (18/18),15,2,0,0,0,0,0,1
Coimbatore,ZaminUthukuli (15/15),14,0,0,0,0,0,0,1
Coimbatore,Pallapalayam (15/15),12,3,0,0,0,0,0,0
Cuddalore,AnnamalaiNagar (15/15),8,5,0,1,0,0,0,1
Cuddalore,Kattumannarkoil (18/18),13,3,0,0,0,0,0,2
Cuddalore,Parangipettai (18/18),12,3,0,0,1,0,0,2
Cuddalore,Kurinjipadi (18/18),18,0,0,0,0,0,0,0
Cuddalore,Bhuvanagiri (17/18),12,3,0,0,0,0,0,2
Cuddalore,Gangaikondan (15/15),9,3,1,2,0,0,0,0
Cuddalore,Pennadam (15/15),8,3,0,0,0,0,0,2
Cuddalore,Srimushnam (15/15),10,3,0,0,0,0,0,2
Cuddalore,Lalpet (15/15),12,0,0,0,0,0,0,2
Cuddalore,Mangalampettai (15/15),7,0,0,0,0,0,0,7
Cuddalore,Melpattampakkam (15/15),8,4,0,0,0,0,0,3
Cuddalore,Sethiathoppu (15/15),12,1,0,0,0,0,0,2
Cuddalore,Thorapadi (15/15),8,6,0,0,0,0,0,1
Cuddalore,Killai (15/15),12,2,0,0,0,0,0,1
Dharmapuri,Harur (18/18),7,7,0,2,0,0,0,2
Dharmapuri,Palacod (18/18),15,2,0,0,0,0,0,1
Dharmapuri,Pennagaram (18/18),11,2,0,2,0,0,0,1
Dharmapuri,Papparapatti (15/15),12,1,0,0,0,0,0,2
Dharmapuri,Marandahalli (15/15),10,2,0,0,0,0,0,3
Dharmapuri,Karimangalam (15/15),11,3,0,0,0,0,0,1
Dharmapuri,Kambainallur (15/15),7,2,0,4,0,0,0,2
Dharmapuri,Kadathur (15/15),12,2,0,1,0,0,0,0
Dharmapuri,B_Mallapuram (15/15),10,0,0,0,0,0,0,5
Dharmapuri,Pappireddipatti (15/15),12,1,0,0,0,0,0,2
Dindigul,Agaram (15/15),9,5,0,0,0,0,0,1
Dindigul,Thadikombu (15/15),13,1,1,0,0,0,0,0
Dindigul,Kannivadi (15/15),13,1,0,0,0,0,0,1
Dindigul,Sriramapuram (15/15),12,2,0,0,0,0,0,1
Dindigul,Sithayankottai (18/18),15,1,0,0,0,0,0,2
Dindigul,Chinnalapatti (18/18),17,0,0,0,0,0,0,1
Dindigul,Pannaikadu (15/15),11,4,0,0,0,0,0,0
Dindigul,Ammainaickanur (18/18),12,2,0,0,0,0,0,4
Dindigul,Batlagundu (18/18),18,0,0,0,0,0,0,0
Dindigul,Sevugampatti (15/15),14,1,0,0,0,0,0,0
Dindigul,Nilakottai (15/15),10,4,0,0,0,0,0,1
Dindigul,Pattiveeranpatti (15/15),10,1,1,0,0,0,0,3
Dindigul,Ayyampalayam (15/15),14,1,0,0,0,0,0,0
Dindigul,Eriodu (15/15),10,4,0,0,0,0,0,1
Dindigul,Palayam (15/15),9,3,0,0,0,0,0,3
Dindigul,Ayyalur (15/15),11,1,0,0,0,0,0,3
Dindigul,Vedasandur (15/15),14,0,0,0,0,0,0,1
Dindigul,Vadamadurai (15/15),10,4,0,0,0,0,0,1
Dindigul,Keeranur (15/15),15,0,0,0,0,0,0,0
Dindigul,Balasamudram (15/15),14,0,0,0,1,0,0,0
Dindigul,Ayakudi (18/18),12,1,1,0,0,0,0,4
Dindigul,Neikarapatti (15/15),10,2,0,0,0,0,0,3
Dindigul,Natham (18/18),12,6,0,0,0,0,0,0
Erode,Athiyur (18/18),13,4,0,0,0,0,0,1
Erode,Appakudal (15/15),8,6,0,1,0,0,0,0
