"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","Id","Change Event ID","id",18,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","ReplayId","Replay ID","string",1000,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","ChangeEventHeader","Change Event Header","complexvalue",0,false,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","Name","<Entity>","string",80,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","CreatedDate","Created Date","datetime",0,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","CreatedById","Created By ID","reference",18,true,"[""User""]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","LastModifiedDate","Last Modified Date","datetime",0,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","LastModifiedById","Last Modified By ID","reference",18,true,"[""User""]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","vlocity_ins__AppliedPromotionId__c","Applied Promotion","reference",18,true,"[""vlocity_ins__AccountAppliedPromotion__c""]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","vlocity_ins__AppliedAction__c","Applied Action","picklist",255,true,"[]",,false,false,,"[""Add"",""Apply"",""Update""]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","vlocity_ins__AssetId__c","Asset","reference",18,true,"[""Asset""]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","vlocity_ins__AssetReferenceId__c","Asset Reference Id","string",255,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","vlocity_ins__MaxQuantity__c","Maximum Quantity","double",0,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","vlocity_ins__MaximumChildItemQuantity__c","Max Children Quantity","double",0,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","vlocity_ins__MinQuantity__c","Minimum Quantity","double",0,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__ChangeEvent","Change Event: Applied Promotion Affected Asset","vlocity_ins__MinimumChildItemQuantity__c","Min Children Quantity","double",0,true,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","Name","Reference Number","string",80,true,"[]",,false,true,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","vlocity_ins__AppliedPromotionId__c","Applied Promotion","reference",18,false,"[""vlocity_ins__AccountAppliedPromotion__c""]","vlocity_ins__AppliedPromotionId__r",false,false,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","vlocity_ins__AppliedAction__c","Applied Action","picklist",255,true,"[]",,false,true,,"[""Add"",""Apply"",""Update""]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","vlocity_ins__AssetId__c","Asset","reference",18,true,"[""Asset""]","vlocity_ins__AssetId__r",false,true,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","vlocity_ins__AssetReferenceId__c","Asset Reference Id","string",255,true,"[]",,false,true,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","vlocity_ins__MaxQuantity__c","Maximum Quantity","double",0,true,"[]",,false,true,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","vlocity_ins__MaximumChildItemQuantity__c","Max Children Quantity","double",0,true,"[]",,false,true,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","vlocity_ins__MinQuantity__c","Minimum Quantity","double",0,true,"[]",,false,true,,"[]",false
"vlocity_ins__AccountAppliedPromotionItem__c","Applied Promotion Affected Asset","vlocity_ins__MinimumChildItemQuantity__c","Min Children Quantity","double",0,true,"[]",,false,true,,"[]",false
"vlocity_ins__AccountAppliedPromotion__ChangeEvent","Change Event: Applied Promotion","Id","Change Event ID","id",18,true,"[]",,false,false,,"[]",false
